THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
884,917,870,17376,3337,-4271,4
864,838,846,15165,2755,-6323,3
919,915,864,16479,-723,-4879,7
921,812,830,16124,3365,-4136,1
829,818,854,15807,2463,-6131,5
865,918,918,15380,4759,-2780,2
823,823,854,10184,9569,-6928,5
829,818,855,15807,2465,-6132,5
838,837,915,18296,-187,-3273,6
871,918,854,15724,4297,-5335,4
920,811,829,16393,3144,-4408,1
869,918,917,8132,-13600,-6392,8
859,916,919,15751,456,-7179,2
919,916,866,16864,-723,-4899,7
922,812,830,16749,3099,-5491,1
867,919,916,7665,-13068,-6057,8
861,917,919,17941,1817,308,2
890,900,886,17788,531,-5013,2
870,846,858,16227,3611,-5692,3
909,875,871,15388,1336,-5021,3
889,916,881,16104,4017,-6075,4
884,915,870,17377,3336,-4271,4
866,840,849,15688,2961,-6833,3
905,915,886,14928,-980,-6131,8
920,913,861,17069,-1417,-5321,7
883,917,869,15024,5007,-7781,4
891,916,869,16119,1180,-5163,4
920,914,866,17169,-1105,-5732,7
882,887,910,17225,236,-2533,6
873,915,854,15660,6335,-3881,4
861,918,919,17628,1228,-199,2
886,915,870,17376,3335,-4272,4
867,812,850,15900,3023,-5717,5
828,834,915,15929,743,-1845,6
864,882,849,16987,-605,-5420,6
854,912,914,15915,3492,-6344,2
859,918,919,15752,456,-7181,2
866,844,850,15660,3084,-6307,3
890,917,870,16119,1181,-5164,4
878,798,847,16476,2400,-6479,5
844,838,915,18357,-467,-4059,6
849,916,917,16037,73,-6460,2
889,916,879,16105,4016,-6076,4
837,814,854,15695,2472,-7215,5
864,918,918,6641,-13321,-7153,8
821,834,915,16261,-705,-1927,6
899,862,860,17307,1973,-5976,3
835,819,855,15135,1997,-6291,5
884,886,909,17225,236,-2531,6
921,809,830,15977,3196,-4377,1
920,809,826,16112,3596,-4761,1
859,916,918,17629,1227,-200,2
856,915,918,12852,7021,-10595,2
867,845,850,16151,2644,-5992,3
830,818,853,15807,2465,-6131,5
869,833,859,16804,1788,-4005,5
830,819,853,15808,2465,-6131,5
903,877,898,19223,537,-4553,5
872,851,860,12065,-6819,-4256,3
841,916,901,15612,1571,-4460,2
886,916,872,17377,3335,-4273,4
872,850,860,12063,-6820,-4257,3
841,820,855,16444,-1125,-5981,5
877,916,858,16813,29,-4971,4
854,918,902,16839,700,-6644,2
874,915,865,15600,2764,-5988,4
868,918,917,8508,-13692,-5789,8
842,839,914,17451,640,-3221,6
861,834,841,16640,3893,-7351,3
852,821,856,14629,2176,-4037,5
877,821,917,18153,753,-2851,6
884,805,917,17989,119,-2227,6
858,917,918,15753,457,-7181,2
902,896,855,16365,-1473,-5631,6
865,919,918,6640,-13320,-7151,8
829,819,853,15808,2463,-6131,5
877,917,858,18075,-2164,-5752,4
869,917,916,8145,-11892,-6245,8
907,874,869,15389,1336,-5021,3
882,804,916,17988,119,-2229,6
890,861,861,15832,7396,-428,3
879,821,917,18151,751,-2853,6
839,837,916,16916,471,-1508,6
878,820,916,18153,751,-2851,6
861,835,840,16640,3892,-7353,3
889,915,879,16105,4015,-6075,4
903,861,914,17380,787,-3680,6
878,915,859,16811,28,-4972,4
853,917,916,16041,-1791,-3744,2
834,819,854,15136,1997,-6292,5
865,918,917,6639,-13321,-7152,8
831,822,855,15853,1685,-6467,5
879,861,861,16221,2245,-3631,3
858,916,917,12851,7021,-10595,2
855,917,905,16501,2161,-7615,2
885,915,870,17376,3337,-4272,4
890,900,886,17787,531,-5012,2
920,913,863,17400,-1645,-5745,7
908,910,856,16392,373,-2585,6
877,862,858,15213,2257,-6769,3
920,810,829,15977,3197,-4375,1
843,838,915,18356,-467,-4060,6
879,862,860,16221,2243,-3631,3
861,835,840,16641,3891,-7351,3
903,860,914,17380,788,-3681,6
866,840,848,16500,3009,-6128,3
867,841,850,16417,2719,-6535,3
885,917,869,15023,5008,-7780,4
856,919,904,16501,2160,-7615,2
829,818,855,15808,2464,-6132,5
857,845,916,17167,1452,-363,6
877,856,859,14187,793,-10275,3
883,886,909,17225,236,-2533,6
870,916,854,16188,3267,-6127,4
865,814,851,15900,3025,-5716,5
920,809,828,16113,3597,-4759,1
878,798,848,16476,2400,-6480,5
835,819,850,16211,4820,-4853,5
847,918,903,18073,683,-5725,2
868,919,918,7257,-12904,-5779,8
829,834,914,15929,743,-1843,6
919,916,865,16520,-1233,-5380,7
857,845,916,17168,1453,-363,6
922,810,829,16125,3363,-4137,1
